Year,Price
2012,2.115
2013,2.254
2014,2.406
2015,2.223
2016,2.107
2017,2.161
2018,2.218
2019,2.146
2020,2.198
2021,2.331
2022,2.203
2023,2.6603
2024,2.9163

