Year,Price
2012,4.63
2013,4.49
2014,4.32
2015,3.06
2016,2.69
2017,2.99
2018,3.37
2019,3.19
2020,2.70
2021,3.63
2022,4.82
2023,4.25
2024,3.97
2025,0.62
